,dataset_name,method,theta,max,SSE,Total_time
265,Syn_n_50000_d_2_seed_8,asc,1.1,10.0,821210.3881713487,16.63756799697876
266,Syn_n_50000_d_2_seed_8,asc,1.1,20.0,821208.1736392542,18.280665636062622
267,Syn_n_50000_d_2_seed_8,asc,1.1,50.0,821201.966983841,18.832195520401
268,Syn_n_50000_d_2_seed_8,asc,1.2,5.0,821300.3989334905,8.08189582824707
269,Syn_n_50000_d_2_seed_8,asc,1.2,10.0,821228.072608334,10.953246355056763
270,Syn_n_50000_d_2_seed_8,asc,1.2,20.0,821219.1183481789,11.619948863983154
271,Syn_n_50000_d_2_seed_8,asc,1.2,50.0,821202.2264357244,14.753539800643921
272,Syn_n_50000_d_2_seed_8,asc,1.5,5.0,821301.7566365891,5.335728883743286
273,Syn_n_50000_d_2_seed_8,asc,1.5,10.0,821225.8084469088,7.5029566287994385
274,Syn_n_50000_d_2_seed_8,asc,1.5,20.0,821222.2380392847,8.358643770217896
275,Syn_n_50000_d_2_seed_8,asc,1.5,50.0,821202.2264357244,9.772992134094238
276,Syn_n_50000_d_2_seed_8,asc,2.0,5.0,821303.707972182,3.702063798904419
277,Syn_n_50000_d_2_seed_8,asc,2.0,10.0,821225.8084469091,5.507270574569702
278,Syn_n_50000_d_2_seed_8,asc,2.0,20.0,821222.2380392847,6.13159704208374
279,Syn_n_50000_d_2_seed_8,asc,2.0,50.0,821202.2264357246,6.726921081542969
280,Syn_n_50000_d_2_seed_8,asc,5.0,5.0,821230.9980932695,2.668905019760132
281,Syn_n_50000_d_2_seed_8,asc,5.0,10.0,821231.1669567346,3.7090487480163574
282,Syn_n_50000_d_2_seed_8,asc,5.0,20.0,821213.2771854247,3.690099000930786
283,Syn_n_50000_d_2_seed_8,asc,5.0,50.0,821202.2264357251,3.807840347290039
284,Syn_n_50000_d_2_seed_8,asc,10.0,5.0,821227.778087111,2.531233549118042
285,Syn_n_50000_d_2_seed_8,asc,10.0,10.0,821228.6956839821,2.7237155437469482
286,Syn_n_50000_d_2_seed_8,asc,10.0,20.0,821238.0659819082,2.725705862045288
287,Syn_n_50000_d_2_seed_8,asc,10.0,50.0,821254.7981528686,2.8862807750701904
288,Syn_n_50000_d_2_seed_9,asc,1.01,5.0,825650.172195542,52.240288734436035
289,Syn_n_50000_d_2_seed_9,asc,1.01,10.0,825649.5184304873,51.65074443817139
290,Syn_n_50000_d_2_seed_9,asc,1.01,20.0,825649.5184304871,54.52628946304321
291,Syn_n_50000_d_2_seed_9,asc,1.01,50.0,825649.5184304871,57.67263960838318
